report.response,report.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audio,participant,sex,age,years musical experience,date,expName,psychopyVersion,OS,frameRate,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
1.044791659,2.9131,0,0,0,7,1,yl8.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.015625,1.5183,0,1,1,2,1,yl3.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.987500032,2.6593,0,2,2,5,1,yl6.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,2.5768,0,3,3,6,1,yl7.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,2.1373,0,4,4,9,1,yl10.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,2.3674,0,5,5,4,1,yl5.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.008333325,2.526,0,6,6,0,1,yl1.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.008333325,2.3605,0,7,7,1,1,yl2.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,3.1753,0,8,8,3,1,yl4.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,2.0561,0,9,9,8,1,yl9.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,2.3675,0,10,10,10,1,yl11.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.011458357,2.118,1,0,11,6,1,yl7.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.016666691,2.7611,1,1,12,2,1,yl3.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.012500008,3.1493,1,2,13,0,1,yl1.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.022916675,1.457,1,3,14,3,1,yl4.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,2.5844,1,4,15,10,1,yl11.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.009375016,3.0258,1,5,16,5,1,yl6.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,3.4518,1,6,17,1,1,yl2.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.994791667,4.6745,1,7,18,9,1,yl10.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,2.1575,1,8,19,4,1,yl5.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.001041691,1.312,1,9,20,7,1,yl8.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,1.8752,1,10,21,8,1,yl9.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
,,,,,,,,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,0,0,0,0,1
1.015625,1.9081,0,0,0,2,1,yl3.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.010416667,2.1759,0,1,1,3,1,yl4.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,1.8068,0,2,2,0,1,yl1.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,5.1584,0,3,3,4,1,yl5.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,2.2065,0,4,4,10,1,yl11.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.004166683,1.7916,0,5,5,6,1,yl7.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.004166683,2.2351,0,6,6,7,1,yl8.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.984375,2.4044,0,7,7,9,1,yl10.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,1.7686,0,8,8,5,1,yl6.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,1.8788,0,9,9,1,1,yl2.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,4.1081,0,10,10,8,1,yl9.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,2.0173,1,0,11,7,1,yl8.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.011458357,2.5122,1,1,12,0,1,yl1.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,3.0348,1,2,13,3,1,yl4.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.018749992,4.028,1,3,14,2,1,yl3.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,2.2984,1,4,15,10,1,yl11.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,3.7751,1,5,16,9,1,yl10.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.025000016,2.3183,1,6,17,4,1,yl5.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,4.4396,1,7,18,5,1,yl6.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.004166683,2.7509,1,8,19,6,1,yl7.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,1.9225,1,9,20,1,1,yl2.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,5.9792,1,10,21,8,1,yl9.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
,,,,,,,,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,1,0,1,0,1
1,1.5518,0,0,0,6,1,yl7.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,1.6263,0,1,1,3,1,yl4.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,1.9184,0,2,2,8,1,yl9.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,1.6875,0,3,3,0,1,yl1.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,2.2837,0,4,4,2,1,yl3.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.043750008,3.652,0,5,5,1,1,yl2.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,2.079,0,6,6,4,1,yl5.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.018749992,2.2342,0,7,7,7,1,yl8.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,2.451,0,8,8,5,1,yl6.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,1.9351,0,9,9,10,1,yl11.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,1.8122,0,10,10,9,1,yl10.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.019791683,1.6853,1,0,11,3,1,yl4.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,2.0017,1,1,12,7,1,yl8.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,3.0673,1,2,13,4,1,yl5.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,2.6009,1,3,14,2,1,yl3.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,2.2517,1,4,15,8,1,yl9.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.940625032,1.8598,1,5,16,6,1,yl7.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
2,1.4451,1,6,17,10,1,yl11.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,1.6923,1,7,18,5,1,yl6.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.009375016,1.5286,1,8,19,0,1,yl1.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1.012500008,2.3002,1,9,20,9,1,yl10.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
1,2.2086,1,10,21,1,1,yl2.wav,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,,,,,
,,,,,,,,2201,f,28,7,2021-10-21_11h48.58.649,yanny-laurel,2021.2.3,Win32,60.38647343,2,0,2,0,1